total,rank,title,artist,release_date,genre,language,lyrics_clean,source
1444,10,no one knows us,brandi carlile,2025-10-24,folk,english,"no one knows us lyrics hey can you get out of bed today do you need anything from me im anywhere, anywhere i need to be even i had the dream last night we were squatters in fight or flight bonfires and christmas lights i miss those nights too dont be a stranger now you never really know when the floor drops out the day they drop the bomb, you wont hear a sound stay in touch no one knows us by the way, right across the street from the miners grave they built another field for the kids to play ill bring an extra blanket for you just in case i didnt wanna bothr you anyway but can you still see your heart racing in the mirror isnt it hilarious to live in far 80s movies and everclear what if were gay dont be a stranger now we never really know when the plane goes down the day they drop the bomb, you wont hear a sound no one knows us dont turn your back on me what about the secrets youve got to keep were never really sure where the rivers deep weve seen too much no one knows us weve still got time, can we move to the city can we sleep in light can we just forget it while theyre still alive, can we drive to the city can we dream in light dream in light while the sun sets down in the glass in the city we can lay our heads in the grass in the city making snow angels in the park like kids can we kiss the dark kiss the dark, kiss the dark oh, there wont be a stranger now you never really know when the floor drops out the day they drop the bomb, you wont hear a sound no one knows us dont turn your back on me what about the secrets youve got to keep were never really sure where the rivers deep no one knows us dont be a stranger now no one really knows when the plane goes down the day they drop the bomb, you wont hear a sound stay in touch, weve seen too much no one knows us",https://genius.com/Brandi-carlile-no-one-knows-us-lyrics
1445,11,basic being basic,djo,2025-04-04,other,english,"get food, barely eat every bite just kept me glued to my seat i worried, even cried howd it feel to take the light from my life bad habit, even worse fiftyfifty, im a sucker for looks asked for it, here it is a quick example cause you wanted the hits i think youre scared of being basic thats ironic cause its reading like youre even more basic its not funny, its so funny cause youre basic just looking hot and keeping monotone and understated nothingness wont change it good luck with that , good luck with what its not funny, but its so funny i dont want your money, i dont care for fame i dont wanna live a life where thats my big exchange i want simple pleasures, friends who have my back everyone has secrets, but not everyone can fool a man like that it sent me reeling, still not the same its like my capacity to love and give has changed i guess ill thank you and spite your name again the pasts the past, and ill outlast the hate to find real love thats not pretend how basic sell me on it shuffle numbers, pointing fingers, ditching chats in different apps thats basic haha its not funny, its so funny thats just basic being basic basically you said he looked just like a girl, so you like girls i guess ill take it yeah, thats funny, youre so funny hahahaha change your body, change your face, curl your hair then make it straight take a picture of your plate, tarantino movie taste rahrah, cheugyphobe, vera bradleys back in vogue its a flash photograph what an empty epitaph that is thats basic what an empty epitaph that is thats basic what an empty epitaph thats just basic being basic yeah, my tight five might get a laugh as is if thats funny, im not funny",https://genius.com/Djo-basic-being-basic-lyrics
1448,14,prema,fujii kaze,2025-09-05,pop,english,"na, na, nanana, nana, nanana na, na, nanana, nana, nanana hey, yeah hare hare hare, yeah yeah yeah hare hare hare, yeah yeah yeah hare hare hare, yeah yeah yeah hare hare, hey anta no sono ha ni hasagatta aosako ni furerubeki ka inaka de sukoshi nayanderu kuchi ni shinai hou ga ii shinjitsu mo aru kara shiranai hou ga yokatta nante iwanaideite yeah nani ga atte mo zutto daisuki nano ni donna toki mo koko ni iru no ni chika sugite mienakute mushisarete ame no naka hitori yuku anta kokoro no naka de sasayaku no yo socchi ni itte wa dame to kikanai furi tsuzukeru anta ikioi ni makasete koedame e to daibu sore wa nannan sakigakete washi wa yuuta ga sore naraba nannan nande nanmo kiite kuren kattan sono kao wa nannan nannan hanasaku machi no kado chikatta ano toki no egao wa nannan ano toki no namida wa nan jattan tamani wa daitan ni semetara ii toki ni wa shinchou ni ayumeba ii shinjitsu nante mon wa tokku no tou ni shitteiru koto o shiranai dake deshou are hodo kizanda koukai mo kurikaesu mainichi no naka de kakikesareteiku no ne massara ni natta ketsui wo mune ni anta wa doudou to mata koedame e to daibu sore wa nannan sakigakete washi wa yuuta ga sore naraba nannan nande nanmo kiite kuren kattan sono kao wa nannan nannan hanasaku machi no kado chikatta ano toki no egao wa nannan ano toki no namida wa nan jattan aa kamisama tasukete yabame yabame yabame yabame aa ashioto terashite yabame yabame yabame yabame me wo tojite mite kokoro no mimi sumashite yasashii kimochi de kotae wo kiite mou utawasenaide uragiri no buruusu baraberen bebereberen beberen babaranba sore wa nannan aa, washi wa yuuta ga sore naraba nannan nannan nande kiite kuren kattan, baby nannan nannan, nannan, nannan ano toki no egao wa nannan ano toki no namida wa nan jattan nannan",https://genius.com/Genius-japanese-translations-fujii-kaze-prema-lyrics
1449,15,bloom,"maribou state, gaidaa",2025-01-31,"pop,rb",english,bloom lyrics need a break from it all ah no cant do no more need a break from it all ah no cant do no more need a break from it all ah no cant do no more cant do no more need a break from it all ah no cant do no more need a break from it all ah no cant do no more cant do no more cant do no more cant do no more,https://genius.com/Maribou-state-and-gaidaa-bloom-lyrics
1450,16,sauvignon blanc,rosalia,2025-11-07,latin,spanish,"na, nada que perder ya no quiero perlas ni caviar tu amor ser mi capital y qu ms da tengo a ti, no necesito nada ms estribillo sauvignon blanc a tu lado mi futuro ser dorado tengo miedo del pasado est en el fondo de mi copa de sauvignon blanc en mi copa de sauvignon blanc, mm verso 2 a mi dios escuchar mis jimmy choo yo las tirar mi porcelana la dejar caer y regalar mi piano de pared estoy bien si ests t si hoy ests t estribillo yo beber sauvignon blanc a tu lado mi futuro ser dorado tengo miedo del pasado en el fondo se hundi en mi sauvignon blanc, a tu lado mi futuro s bien que ser dorado",https://genius.com/Rosalia-sauvignon-blanc-lyrics
1452,18,unspoken,durand bernarr,2025-02-18,other,english,unspoken lyrics yea yea yea yea yea yea yea yea yea yea yea yea v1 i crashed out yesterday quit tryna run away from you and i and how we used to be black teardrops took the fall down like a cannonball and through the ice a power spoke to me pre i cant believe i let you in and underneath my skin i cant believe i gave it all to end up letting go i cant believe i held inside the darkness i cant lie almost ate me alive had to kiss it goodbye after all this time even though i left words unspoken had to write em all down even though i left hurt unspoken had to get it all out and maybe now ill never have to say that shit again yea yea yea yea yea yea ill never have to say that shit again yea yea yea yea yea yea v2 i found out instantly i was a casualty you changed your mind treated me like a disease pre i cant believe you held me up just to body slam me down i cant believe you gave it all just to end up backing out i cant believe you severed ties in the blink of an eye almost ate me alive had to kiss it goodbye after all this time even though i left words unspoken had to write em all down even though i left hurt unspoken had to get it all out and maybe now ill never have to say that shit again yea yea yea yea yea yea ill never have to say that shit again,https://genius.com/Durand-bernarr-unspoken-lyrics
1453,19,stoned,mac miller,2025-01-17,other,english,"yeah, yeah breaks down the pain yeah she breaks down the pain, she rolls up the weed she far from a saint, shes all that i need she lost in her thoughts, so hardly she speaks her minds always dirty and her souls never free woahwoah she never been a groupie no way she just in love with the music she watch depressin movies always somethin from the 30s or the 40s about a dependent house wife woahwoah she makes up her bed like she makes up her stories awake through the night, then she high from the morning i wish she could feel me, she never felt nothin knock on her door, she let me come in woah i wish she would learn to laugh isolation, she lockin the bathroom door baby, lets get stoned put on a record, can i play you one more song we can get stoned i swear to god, heaven feels just like home lets go home yeah and the water, its shallow like the lies that she tells cant run from your shadow, cant hide from yourself she hates that she cries when shes all by herself and shes always all by herself woahwoah she hardly talks in conversation no way but, but when she do, all her words get lost in no, she cant move woahwoahwoah cause she paralyzed from fear that she fantasize the doctor tried to analyze they cannot find anything thats wrong with her her parents never got along with her i had to make this song for her woahwoahwoah i wish she would learn to laugh isolation, she lockin the bathroom door baby, lets get stoned put on a record, can i play you one more song we can get stoned i swear to god, heaven feels just like home lets go home ooh baby, lets get stoned put on a record, can i play you one more song we can get stoned i swear to god, heaven feels just like home lets go home ooh i wish she would learn to laugh isolation, she lockin the bathroom door baby, lets get stoned put on a record, can i play you one more song ooh we can get stoned i swear to god, heaven feels just like home lets go home ooh",https://genius.com/Mac-miller-stoned-lyrics
1455,22,"pretty promises, feat. mariah the scientist","kali uchis, mariah the scientist",2025-10-03,"pop,rb",english,"pretty promises, lyrics kali uchis i would never ever do a thing like that pretty promises i wont take back cause i would never ever do a thing like that uhuh, uhuh i would never ever do a thing like that if i gave my word, i cant go back cause i would never ever do a thing like that uhuh, uhuh kali uchis baby, so who are you really im rich and im loyal they dont know where to find me i know youve been hurt you say i look like a heartbreak but pretty promises mean a whole lot to me promises ill never break kali uchis i would never ever do a thing like that pretty promises i wont take back cause i would never ever do a thing like that uhuh, uhuh i would never ever do a thing like that if i gave my word, i cant go back cause i would never ever do a thing like that uhuh, uhuh kali uchis up in the sky, i found the star to wish on so i prayed angels would send someone here for me to kiss on to kiss on promises you make up tomorrow, and so on tell me how are your prayer answered left me with a lot to wonder mariah the scientist if he can break the curse or will he be hell on earth i wonder if if he can keep his word, thats all a girl deserves i wonder if hes willing to confide or keep it deep inside cause still, i always want your love, long as it aint a lie i know it isnt perfect but i know that nothing on earth is baby, tell me, is it worth it how to love you when its hurtin my heart is still achin its more than i can take but tell me what more i could say than promises ill never break kali uchis i would never ever do a thing like that pretty promises i wont take back cause i would never ever do a thing like that uhuh, uhuh i would never ever do a thing like that if i gave my word, i cant go back cause i would never ever do a thing like that uhuh, uhuh kali uchis pretty promises, promises will you promise me, promise me we wont break any promises baby, promise me",https://genius.com/Kali-uchis-and-mariah-the-scientist-pretty-promises-lyrics
1456,24,pavement,mallrat,2025-02-14,other,english,"pavement lyrics buckshot told to break yourself, dont talk, save your breath told to break yourself, dont talk, save your breath elevens in progress, progress, suckers gotta told to break yourself, dont talk, save your breath mallrat oh, the light on the rain, on the pavement i dont mind, im on my way, youre my favourite and your light hit my face like a straight right walkin slow to your place in a straight line mallrat oh, the light, and the rain, and now youre drivin watch the raindrop shadow race along my thigh and like a spell that you cast, im a goner theres so much i havent said yet, but i wanna tim nelson im going through something new to keep you by my side maybe another night buckshot told to break yourself, dont talk, save your breath told to break yourself, dont talk, save your breath elevens in progress, progress, suckers gotta told to break yourself, dont talk, save your breath mallrat oh, your light is too bright for a picture ive got angels and i wanna share them with ya and they pour water down from a big sky now theres rain on the pavement under streetlights mallrat oh, the light on the rain, on the pavement time to pour out all the love that ive been savin like a spell that you cast, im a goner theres so much i havent said yet, but i wanna tim nelson im going through something new to keep you by my side maybe another night buckshot told to break yourself, dont talk, save your breath told to break yourself, dont talk, save your breath elevens in progress, progress, suckers gotta told to break yourself, dont talk, save your breath tim nelson buckshot told to break yourself, dont talk, save your breath im going through told to break yourself, dont talk, save your breath something new elevens in progress, progress, suckers gotta to keep you by my side told to break yourself, dont talk, save your breath maybe another night",https://genius.com/Mallrat-pavement-lyrics
1457,25,no time to talk,jonas brothers,2025-08-08,other,english,"no time to talk lyrics joe jonas yeah, yeah, yeah yeah, yeah joe jonas whos that oh mymy, well, you make it look easy, make it look marvelous ooh, yeah, i lilike when you move it in retrograde twostep all night long, way youre takin no breaks, youre makin it obvious you got what i want, but i know im gon have to wait nick jonas i wish i could tell ya, so much that i wanna say but ii know better, so i aint gettin in your way joe jonas nick jonas cause i can tell by the way you use your walk that you came to dance, no time to talk turnin up with all your friends, you came to dance around the clock iiii came to dance, no time to talk she said, iiii came to dance, no time to talk joe jonas good lord, sidetoside, way youre makin me sway, youre shakin me half to death say, go, when its time for my hands to wrap round your waist, oh its too much, i wanna touch and im fallin in love, but i dont wanna rush you, babe too late, we lock eyes and im a moth to a flame , oh nick jonas i wish i could tell ya, so much that i wanna say but ii know better, so i aint gettin in your way joe jonas nick jonas cause i can tell by the way you use your walk that you came to dance, no time to talk turnin up with all your friends, you came to dance around the clock iiii came to dance, no time to talk she said, iiii came to dance, no time to talk nick jonas do your dance, baby, baby, do it all night all night do your dance, baby, baby, you got all eyes all eyes do your dance, baby, baby do your dance, do it all night all night do your dance, baby, baby do your dance, you got all eyes all eyes joe jonas nick jonas cause i can tell by the way you use your walk that you came to dance, no time to talk turnin up with all your friends, you came to dance around the clock iiii came to dance, no time to talk she said, iiii came to dance, no time to talk joe jonas yeah, yeah, yeah yeah, yeah yeah, yeah, yeah",https://genius.com/Jonas-brothers-no-time-to-talk-lyrics
1459,27,need you around,grentperez,2025-03-28,other,english,"need you around lyrics taking time off work to destress ill call you on the phone, come over on the express i promise to pay your toll fee just promise you come to me i hope that you know im sorry but i need you here, baby i thought to watch a movie instead and hide up well inside the comfort of my bed oh, maybe well get all comfy well fall off into our sleep as long as im near you honey im happy as i can be never fail to help me get up when down get me through my mondays you love me, tease me, keep me dancing around dont you leave me one day, oh now, ohwoah, ohwoah, i need you around ohwoah, ohwoah, i need you around postchorus ohwoah, woah ohwoah if you need something, know ill be there ill walk the longest road and more to show you that i care, theres nothing that could come between nothing that could come between what we have with you and me so dont you worry bout a thing dont you worry bout a thing for once in my life, im sure that never fail to help me get up when down get me through my mondays you love me, tease me, keep me dancing around dont you leave me one day now, ohwoah, ohwoah, i need you around ohwoah, ohwoah, i need you around postchorus ohwoah, woah ohwoah ichi tanabe give it to me, baby hahahaha yes",https://genius.com/Grentperez-need-you-around-lyrics
1460,28,berghain,"rosalia, bjork, yves tumor",2025-11-07,"pop,latin",spanish,"rosala, bjrk yves tumor berghain english lyrics his fear is my fear his rage is my rage his love is my love his blood is my blood rosala the flame penetrates my brain like a lead teddy bear i keep many things in my heart thats why my heart is so heavy his fear is my fear his rage is my rage his love is my love his blood is my blood rosala i know very well what i am tenderness for coffee im just a sugar cube i know that heat melts me i know how to disappear when you come, thats when i leave bjrk his fear is my fear his rage is my rage this is divine intervention his love is my love his blood is my blood bjrk the only way to save us is through divine intervention the only way i will be saved is through divine intervention yves tumor ill fuck you til you love me ill fuck you til you love me ill fuck you til you love me til you love me til you love me til you love me til you love me til you love me love me til you, til you love me ill fuck you til you love me ill fuck you til you love me love me love me love me love me",https://genius.com/Genius-english-translations-rosalia-bjork-and-yves-tumor-berghain-english-translation-lyrics
1461,29,woman lake,snuggle,2025-09-12,"pop,rb",english,"woman lake lyrics dreaming of the midwestern lakes you often told me about them nights spend under the stars between the tall elms your voice is always soft spoken your words, pearls on a string a rosary chain, i repeat them again they take me there, to woman lake waking up to realize that youve been gone for a while its so sad, i owe you for the good times baby, we lived and we tried, its all in our eyes you knew me btter, i knew you bettr always together, we said its forever nothing ever is thinking of the house on bayard ave you as a kid, what dreams did you have i always thought that wed go there saint paul, minnesota always soft spoken your words, pearls on a string echo in my sleep, always on repeat they bring me back, to woman lake waking up to realize that youve been gone for a while its not so bad, i owe you for the good times we loved and we died, its all in our eyes you knew me better, i knew you better always together, we said its forever nothing ever is postchorus you knew me better, i knew you better you knew me better, i knew you better always together, we said its forever nothing ever is",https://genius.com/Snuggle-dnk-woman-lake-lyrics
1462,30,dont you worry baby feat. madison mcferrin,"tyler, the creator, madison mcferrin",2025-07-21,"pop,rb",english,"tyler, the creator dont you worry baby ft. madison mcferrin traduo em portugus lyrics tyler, the creator deixa eu agitar, deixa eu agitar rebola, sacode deixa eu agitar, deixa eu agitar rebola, sacode baby, bolsa novinha deixa eu agitar, deixa eu agitar tenho uma mina com um corte novo rebola, sacode se eu tiver minha etiqueta, um dia novinho deixa eu agitar, deixa eu agitar tenho que mentir de novo e eu deslizo nessa bunda refro madison mcferrin tyler, the creator no se preocupe, baby eu tenho tempo e vou te dar eu te dou o mundo antes de voc adormecer acorda no se preocupe, baby no se preocupe eu tenho tempo e vou te dar s me diz seu sabor eu te dou o mundo antes de voc adormecer ponte tyler, the creator droga, garota, melhor voc mexer esses quadris droga, garota, melhor voc mexer esses quadris droga, garota, melhor voc mexer esses quadris droga, garota, melhor voc mexer esses quadris droga, garota, melhor voc mexer esses quadris droga, garota, melhor voc mexer esses quadris droga, garota, melhor voc mexer esses quadris droga, garota, melhor voc mexer esses quadris refro madison mcferrin tyler, the creator no se preocupe, baby no se preocupe eu tenho tempo e vou te dar eu te dou o mundo antes de voc adormecer acorda no se preocupe, baby no se preocupe, baby, no se preocupe eu tenho tempo e vou te dar s me diz seu sabor eu te dou o mundo antes de voc adormecer verso madison mcferrin tyler, the creator ns dois pegamos o trem, amor, voc tem que pagar pra mim eu acho que devo me comportar, porque voc no trabalha pra mim qual , baby e a voc adormeceu eu preciso de um louco, estou dando nota trs haha me chama, garoto uhhuh , eu gostaria de ir yeah podemos ir juntos uh , gozar ao mesmo tempo caramba , ao mesmo tempo ao mesmo tempo tudo que eu preciso de voc no me liga se for desperdiar meu tempo, acorda mm refro madison mcferrin tyler, the creator no se preocupe, baby no se preocupe eu tenho tempo e vou te dar eu te dou o mundo antes de voc adormecer acorda no se preocupe, baby no se preocupe eu tenho tempo e vou te dar s me diz seu sabor eu te dou o mundo antes de voc adormecer sada no toque no vidro deixa eu agitar, rebola, sacode deixa eu agitar, rebola, sacode deixa eu agitar, rebola, sacode deixa eu agitar",https://genius.com/Genius-brasil-traducoes-tyler-the-creator-dont-you-worry-baby-ft-madison-mcferrin-traducao-em-portugues-lyrics
1463,32,kill me,hayley williams,2025-11-07,pop,english,"me, cant get much stronger find another soldier, another soldier go ahead and kill me, cant get much stronger find another soldier, another soldier eldest daughter comes to stop the cycle a job you nver asked for is paying in dust setting down your mothrs mothers torment save yourself or make room for us cause either way, we live in your blood go ahead and kill me, cant get much stronger find another soldier, another soldier go ahead and kill me, cant get much stronger ahahah find another soldier, another soldier jesus christ, get me out of here im sorry that youre going through something hard im sorry that youre going through something hard go ahead and kill me, cant get much stronger find another soldier, another soldier go ahead and kill me, cant get much stronger ahahah find another soldier, another soldier go ahead and kill me, cant get much stronger ahahah find another soldier, another soldier",https://genius.com/Hayley-williams-kill-me-lyrics
1466,36,end where we begin,ben kessler,2025-02-21,other,english,"end where we begin lyrics im a shadow, youre a light the same person on opposite sides its not for nothing, yeah, we try say the words, but we dont do em right then im sitting on your bedroom floor, right in the heart of it tell me i couldve done more, take the words out of my lips waiting on a metaphor, i dont know what it is about you that makes me like this i just wanna love you again and again but we always end where we begin under the covers, to strangers again we always end where we begin yeah, we always end where we begin break call you back every time theres nothing like coming home to you after a long night my delusion, its a crime wont you say something good and ill say that were fine then im sitting on your bedroom floor, right in the heart of it tell me i couldve done more, take the words out of my lips waiting on a metaphor, i dont know what it is about you that makes me like this i just wanna love you again and again but we always end where we begin under the covers, to strangers again we always end where we begin we always end where we begin ooh, ill say everything you couldnt and you hold me when you shouldnt i just wanna love you again and again but we always end where we begin under the covers, to strangers again we always end where we begin we always end where we begin",https://genius.com/Ben-kessler-end-where-we-begin-lyrics
1471,42,fly,djo,2025-04-04,other,english,"one, two, three, four im runnin through the snow again when will spring come again i need the bloom i followed every winding road and the path it took me to no, i dont look back in anger do you falling back to her could be easy to do but i must fly fly away from her im packin up my things again when will the movement end this chapter is through i followed every winding road and the path it took me to me to, me to, me to, me to no, i dont look back in anger do you falling back to her sounds so easy to me but i must fly fly away from her but i must fly ahah wind is at your back now ah ahah carry me away now ah wee",https://genius.com/Djo-fly-lyrics
1472,43,body,"88rising, youha, warren hue",2025-02-21,other,english,"body lyrics youha i just wanna know you exist you just need to know im the girl, thats right, thats right i dont need another expense i dont wanna do this again, thats right, thats right youha youve been in my eyes too long, oh, boy, you got it youve been fantasizing bout me way too long im in my bed and head, i dont know what to do about it want your body postchorus youha do you like it when i call you lil names provide everything, you dont need to put bags on the plane see it aint that crazy, we can hop in that jet ski i dont know when the night gon end, so lets see warren hue ayy, ayy, you gone mad settle for somebody who got bags i love your body and yes, you can just like who you are, its too bad please dont brag i dont want you leaving tonight too sad ima wake up like a brandnew man im your biggest dram, oh, yes, i am youha i just wanna know you exist you just need to know im the girl, thats right, thats right i dont need anothr expense i dont wanna do this again, thats right, thats right i just wanna know you exist you just need to know im the girl, thats right, thats right i dont need another expense i dont wanna do this again, thats right, thats right youha youve been in my eyes too long, oh, boy, you got it boy, you got it youve been fantasizing bout me way too long im in my bed and head, i dont know what to do about it want your body warren hue ayy, get an entrance im expensive its expected you can see that red carpet im the target and she want it good morning i aint picky for ya in the city for ya it get tricky for ya its a warning i got plenty figures pay attention to ya gotta get it to ya flip this bread, bitch my pockets on ds magazine fresh, i aint dressed in no bs apple headphones dont mean that he fresh if chrome hearts make him look hard, lets see then you aint never been to no neimans no i aint ian, but my diors got the tm kpop face, pop out european silk shirt swimming, come on, baby, ill undress it for ya warren hue youha i just wanna know you exist you just need to know im the man, thats right, thats right i dont need another expense i dont wanna do this again, thats right, thats right i just wanna know you exist you just need to know im the girl, thats right, thats right i dont need another expense i dont wanna do this again, thats right, thats right youha youve been in my eyes too long, oh, boy, you got it youve been fantasizing bout me way too long im in my bed and head, i dont know what to do about it want your body postchorus warren hue youha do you like it when i call you lil names provide everything, you dont need to put bags on the plane see it aint that crazy, we can hop in that jet ski i dont know when the night gon end, so lets see",https://genius.com/88rising-youha-and-warren-hue-body-lyrics
1473,44,dream woman,suki waterhouse,2025-02-19,other,english,"album, memoir of a sparklemuffin. released via sub pop, this ballad has a hypnotic, melancholic sound. the monochrome music video stay stay, baby, stay stay stay, baby, stay say that you love me the best say that you want me undressed lovers you run, always from something let me be where you could rest cause i dont ever wanna feel another fucking wayay, heyey i dont ever wanna feel another fucking way cause i dont ever wanna feel another fucking wayay, heyey i dont ever wanna feel another fucking way i can be your dream woman, dream woman i can be your dream woman, dream woman dream woman i can be your dream woman, dream woman i got a body, i got a story you got your tonguetwisted fantasy wrong is she sleeping when you call me in a second, im coming for you reprise stay stay, baby, stay stay stay, baby, stay lovers you run, always from something come back to me to be saved cause i dont ever wanna feel another fucking wayay, heyey i dont ever wanna feel another fucking way i can be your dream woman dream woman dream woman, dream woman i can be your dream woman dream woman, dream woman dream woman, dream woman said i was your dream woman, dream woman said i was your dream woman, dream woman said i was your dream, dream said i was your dream said i was your",https://genius.com/Suki-waterhouse-dream-woman-lyrics
1478,38,hammer to the heart,teddy swims,2025-01-10,rb,english,"ooh, ooh, ooh, ooh, ooh got you cryin on my shoulder and i know better than to listen oh just because youre stayin over doesnt mean that youre forgiven oh we both know what you done, what you done dont love anyone, anyone anyone but yourself, oh just when i think i found the strength to go and push you away, away, oh i pull you in again, oh, im such a sucker for the pain, pain, pain baby ah im helpless, baby ah porcelain in your hands, bound to fall apart you know how to break me hammer to the heart caption it passion, and then capture me, trap me instead happy to die in that web wrapped in the sheets of your bed ooh, know the only way im leaving ooh, is in pieces just when i think i found the strength to go and push you away, away, oh i pull you in again, oh, im such a sucker for the pain, pain, pain baby ah im helpless, baby ah porcelain in your hands, bound to fall apart you know how to break me hammer to the heart why do you do this to me leave, and come back, and repeat sound of the crash when you swing oh why do you do this to me leave, and come back, and repeat sounds like its just what i need oh baby im helpless, baby porcelain in your hands, bound to fall apart you know how to break me hammer to the heart baby ah im helpless, baby ah porcelain in your hands, bound to fall apart you know how to break me hammer to the heart oh oh oh porcelain in your hands, bound to fall apart you know how to break me hammer to the heart",https://genius.com/teddy-swims-hammer-to-the-heart-lyrics
1479,39,one thing,lola young,2025-05-09,rb,english,"liam, harry ive tried playin it cool but when im lookin at you i cant ever be brave cause you make my heart race shot me out of the sky youre my kryptonite you keep makin me weak yeah, frozen and cant breathe zayn liam, zayn somethings gotta give now cause im dyin just to make you see that i need you here with me now cause youve got that one thing all so get out, get out, get out of my head and fall into my arms instead i dont, i dont, dont know what it is but i need that one thing and youve got that one thing niall zayn, niall now im climbing the walls but you dont notice at all that im goin out of my mind all day and all night",https://genius.com/one-direction-one-thing-lyrics
1480,42,spring into summer,lizzy mcalpine,2025-04-25,pop,english,"spring into summer, and the winters gone i try to hold on to it, but the currents too strong somebody finds me in the state i am love you like i mean it when i know i cant hold it against me, cool to the touch nobody knows what its like to be us somebody finds me in the shallow end love you like i mean it just because i can over water, i am jumpin off mm taking a picture of all the people close to us head below the surface, almost never certain of the truth mm im always, forever, runnin back to you you, ooh runnin back to you ooh runnin back to you youre always gonna be someone that i want oh we have too many years between us if i could jump into the past, id only change one thing id never hurt you first, id never let you leave and now im here forever, runnin back to you always summer is falling, its a distant dream if i turn around, youre runnin back to me one, two, three, four instrumental break dadadadadada, dadada dadadadadada, dadada dadadadadada, dadada dadada, dadada dadadadadada, dadada dadadadadada, dadada dadadadadada, dadada dadada, dadada dadadadadada, dadada dadadadadada, dadada dadadadadada, dadada dadada",https://genius.com/lizzy-mcalpine-spring-into-summer-lyrics
1481,45,taxes,geese,2025-07-08,rock,english,"i should burn in hell i should burn in hell but i dont deserve this nobody deserves this oohooh, oohooh oohooh, oohooh if you want me to pay my taxes if you want me to pay my taxes youd better come over with a crucifix youre gonna have to nail me down oohooh, oohooh oohooh doctor, doctor, heal yourself doctor, doctor, heal yourself and i will break my own heart i will break my own heart from now on oohooh, oohooh oohooh, oohooh ooh",http://genius.com/geese-taxes-lyrics
1486,12,ill take care of you,"tyler, the creator",2025-07-21,hiphop,english,"you gotta know ill take care of you, you, you, you you, you, you ill take care of you, you, you, yeah you, you all ill take care of you never been no pussy, niggas scared to throw them things, mane fuckin with no hoes, aint never been no lame never been no pussy, niggas scared to throw them things, mane ill take care of you fuckin with no hoes, aint never been no lame never been no pussy, niggas scared to throw them things, mane fuckin with no hoes, aint never been no lame nough is enough, boy ruck and get stuffed, boy luck is a must, boy ill take care ill take care of you nough is enough, boy ruck and get stuffed, boy luck is a must, boy knuck if you buck, boy nough is enough, boy knuck if you buck, boy ruck and get stuffed, boy knuck if you buck, boy luck is a must, boy knuck if you buck, boy knuck if you buck, boy ill take care of you all your love, my heart and soul i ride until my body cold i dont know why things are gone hey ill take care of you wait a minute, im goin through some shit i can tell its not beginning to work stay, hey ill take care of you, oh ill take care of you fuckin with no hoes, aint never been no lame aint never been no pussy, niggas scared to throw them things, mane fuckin with no hoes, aint never been no lame aint never been no pussy, niggas scared to throw them things, mane yeah ill take care of you fuckin with no hoes, aint never been no lame aint never been no pussy, niggas scared to throw them things, mane",https://www.azlyrics.com/lyrics/tylerthecreator/illtakecareofyou.html
1487,14,beautiful people,david guetta and sia,2025-03-07,"edm,pop",english,"woah hands out stretched, what you got give me your best and i wont turn you down cause youre always out to impress woah cause youre always out to impress woah youre always out to impress this is the high life, nothing dragging us through the thorns this is the best time to be young or reborn live like we gonna die, do things weve never done before this is the high life, the high life no, we wont say, no beautiful people say, go, go, go beautiful people dont stress, stress, stress we never rest beautiful people say, yes woah beautiful people say, yes no, we wont say, no beautiful people say, go, go, go beautiful people dont stress, stress, stress we never rest beautiful people say, yes woah beautiful people say, yes ohwoah beautiful people say, yes hands out stretched, what you got give me your best and i wont turn you down cause youre always out to impress woah cause youre always out to impress woah youre always out to impress so come, come, come with me lets push on til the break of dawn, i love to party and when im with you, cameras on, i got the cure you seek ready, set, go, i drop the bomb this is the high life, the high life no, we wont say, no beautiful people say, go, go, go beautiful people dont stress, stress, stress we never rest beautiful people say, yes woah beautiful people say, yes no, we wont say, no beautiful people say, go, go, go beautiful people dont stress, stress, stress we never rest beautiful people say, yes woah beautiful people say, yes ohwoah beautiful people say, yes no, we wont say, no beautiful people say, go, go, go beautiful people dont stress, stress, stress we never rest beautiful people say, yes woah beautiful people say, yes",https://www.azlyrics.com/lyrics/davidguetta/beautifulpeople.html
